domain,record_type,encoding_type,encodePacketStart,encodePacketEnd,dnsResStart,dnsResEnd,encode_duration,dns_resolution_duration,total_duration
example.com,AAAA,ALL,846358.144175625,846358.144505625,846358.144505708,846358.146640291,0.0003299999516457319,0.0021345829591155052,0.0024646659148856997
example.com,A,Base16,846358.146714125,846358.14672,846358.146720041,846358.148356416,5.875015631318092e-06,0.0016363749746233225,0.0016422910848632455
example.com,A,Base32,846358.148419916,846358.148434666,846358.148434708,846358.150353625,1.4749937690794468e-05,0.0019189169397577643,0.0019337089033797383
example.com,A,Base64,846358.15041775,846358.150424083,846358.150424166,846358.152694416,6.332993507385254e-06,0.002270249999128282,0.00227666599676013
example.com,A,Base85,846358.152767666,846358.152783708,846358.15278375,846358.154778041,1.604191493242979e-05,0.001994290971197188,0.002010374912060797
example.com,A,Base91,846358.154961708,846358.154975791,846358.154975833,846358.156709208,1.4082994312047958e-05,0.0017333750147372484,0.001747500034980476
example.com,A,Binary,846358.156779916,846358.156805625,846358.15680575,846358.158579916,2.570892684161663e-05,0.0017741660121828318,0.0017999999690800905
example.com,A,Hexadecimal,846358.158671833,846358.158679958,846358.15868,846358.160354083,8.124974556267262e-06,0.001674083061516285,0.0016822500620037317
example.com,A,NetBios,846358.160423166,846358.160427541,846358.160427625,846358.16253175,4.375004209578037e-06,0.0021041251020506024,0.0021085840417072177
example.com,A,DecimalEncoding,846358.162596708,846358.162607375,846358.162607458,846358.164512583,1.0666903108358383e-05,0.0019051251001656055,0.0019158750073984265
example.com,A,ROT13,846358.164879333,846358.164911458,846358.164911625,846358.167409291,3.2125040888786316e-05,0.002497666049748659,0.0025299580302089453
example.com,A,URL,846358.16750875,846358.167525416,846358.1675255,846358.169142541,1.6666017472743988e-05,0.0016170410672202706,0.0016337910201400518
example.com,A,ALL,846358.169209916,846358.169545625,846358.169545708,846358.171531208,0.0003357089590281248,0.0019854999845847487,0.002321291947737336
example.com,AAAA,Base16,846358.171624083,846358.171631375,846358.1716315,846358.173926166,7.292022928595543e-06,0.0022946660174056888,0.0023020830703899264
example.com,AAAA,Base32,846358.17402875,846358.174047708,846358.174047791,846358.175745625,1.895800232887268e-05,0.0016978339990600944,0.0017168750055134296
example.com,AAAA,Base64,846358.175872375,846358.175879458,846358.175879541,846358.177779833,7.082941010594368e-06,0.0019002920016646385,0.0019074579467996955
example.com,AAAA,Base85,846358.177877541,846358.177893958,846358.177894041,846358.179534666,1.6417005099356174e-05,0.0016406250651925802,0.0016571249580010772
example.com,AAAA,Base91,846358.179624875,846358.179640291,846358.179640333,846358.181271833,1.541606616228819e-05,0.0016314999666064978,0.0016469580586999655
example.com,AAAA,Binary,846358.18134825,846358.181361916,846358.181362,846358.183429958,1.3665994629263878e-05,0.002067958004772663,0.002081707934848964
example.com,AAAA,Hexadecimal,846358.18350075,846358.183506625,846358.183506708,846358.185301583,5.875015631318092e-06,0.0017948750173673034,0.001800833037123084
example.com,AAAA,NetBios,846358.18537825,846358.185383125,846358.185383208,846358.187383125,4.875008016824722e-06,0.001999916974455118,0.0020048749865964055
example.com,AAAA,DecimalEncoding,846358.187471166,846358.187483333,846358.187483375,846358.189192708,1.2167030945420265e-05,0.0017093330388888717,0.0017215419793501496
example.com,AAAA,ROT13,846358.189259708,846358.1892705,846358.189270583,846358.190965,1.0791933164000511e-05,0.0016944169765338302,0.0017052919138222933
example.com,AAAA,URL,846358.191038458,846358.191050916,846358.191050958,846358.193397375,1.2457952834665775e-05,0.0023464170517399907,0.002358917030505836
example.com,AAAA,ALL,846358.193492041,846358.193837708,846358.193837791,846358.195821125,0.000345667009241879,0.001983333961106837,0.0023290839744731784
example.com,A,Base16,846358.195901625,846358.195908708,846358.195908791,846358.197620958,7.083057425916195e-06,0.0017121669370681047,0.0017193329986184835
example.com,A,Base32,846358.197701166,846358.197717375,846358.1977175,846358.200087583,1.6208970919251442e-05,0.0023700830060988665,0.00238641700707376
example.com,A,Base64,846358.200235875,846358.200246541,846358.200246625,846358.201922416,1.0665971785783768e-05,0.001675790990702808,0.0016865410143509507
example.com,A,Base85,846358.202007458,846358.202025833,846358.202025916,846358.204596541,1.837499439716339e-05,0.002570625045336783,0.002589083043858409
example.com,A,Base91,846358.20469675,846358.204714041,846358.204714166,846358.206785958,1.7290934920310974e-05,0.0020717920269817114,0.0020892079919576645
example.com,A,Binary,846358.206885791,846358.206902625,846358.206902708,846358.209023291,1.6834004782140255e-05,0.00212058296892792,0.0021374999778345227
example.com,A,Hexadecimal,846358.209196625,846358.209219166,846358.20921925,846358.211643,2.2540916688740253e-05,0.002423750003799796,0.0024463749723508954
example.com,A,NetBios,846358.211727083,846358.211732666,846358.211732708,846358.21392425,5.58304600417614e-06,0.002191541949287057,0.0021971670212224126
example.com,A,DecimalEncoding,846358.2140285,846358.214044541,846358.214044666,846358.218010041,1.6040983609855175e-05,0.003965375013649464,0.003981541027314961
example.com,A,ROT13,846358.218109291,846358.218124208,846358.218124291,846358.220405833,1.491699367761612e-05,0.0022815419360995293,0.002296541933901608
example.com,A,URL,846358.220537875,846358.220588,846358.220588041,846358.222873583,5.012506153434515e-05,0.0022855419665575027,0.002335708006285131
example.com,A,ALL,846358.222950208,846358.2236945,846358.223694583,846358.226807791,0.0007442920468747616,0.003113207989372313,0.003857583040371537
example.com,AAAA,Base16,846358.226944541,846358.226955458,846358.2269555,846358.228708916,1.0917079634964466e-05,0.001753416028805077,0.0017643750179558992
example.com,AAAA,Base32,846358.22877925,846358.228796708,846358.22879675,846358.23479625,1.7457990907132626e-05,0.0059995000483468175,0.006016999948769808
