domain,record_type,encoding_type,encodePacketStart,encodePacketEnd,dnsResStart,dnsResEnd,encode_duration,dns_resolution_duration,total_duration
example.com,AAAA,NetBios,840851.70780675,840851.707811125,840851.707811208,840851.709792791,4.375004209578037e-06,0.0019815830746665597,0.0019860410830006003
example.com,AAAA,DecimalEncoding,840851.709848791,840851.709856666,840851.70985675,840851.711400083,7.875030860304832e-06,0.0015433330554515123,0.0015512920217588544
example.com,AAAA,ROT13,840851.711460833,840851.711470083,840851.711470166,840851.713038833,9.25001222640276e-06,0.0015686670085415244,0.0015780000248923898
example.com,AAAA,URL,840851.713096125,840851.713105916,840851.713105958,840851.71463425,9.790994226932526e-06,0.0015282920794561505,0.0015381249831989408
example.com,AAAA,ALL,840851.714694583,840851.715001708,840851.71500175,840851.716906375,0.0003071250393986702,0.001904624979943037,0.0022117920452728868
example.com,A,Base16,840851.716967583,840851.716972291,840851.716972375,840851.718975458,4.707952030003071e-06,0.0020030828891322017,0.002007874893024564
example.com,A,Base32,840851.719042333,840851.719054583,840851.719054625,840851.720618875,1.225003506988287e-05,0.0015642499784007668,0.0015765420394018292
example.com,A,Base64,840851.720682458,840851.720687041,840851.720687083,840851.722235208,4.582921974360943e-06,0.0015481250593438745,0.001552750007249415
example.com,A,Base85,840851.722297416,840851.722309125,840851.72230925,840851.723851,1.1709053069353104e-05,0.0015417499234899879,0.001553584006614983
example.com,A,Base91,840851.723960041,840851.723972291,840851.723972416,840851.725535625,1.225003506988287e-05,0.0015632089925929904,0.0015755840577185154
example.com,A,Binary,840851.725605083,840851.725617416,840851.7256175,840851.727654125,1.2332922779023647e-05,0.0020366249373182654,0.002049041911959648
example.com,A,Hexadecimal,840851.727723916,840851.727729833,840851.727729916,840851.729279625,5.917041562497616e-06,0.0015497090062126517,0.001555709051899612
example.com,A,NetBios,840851.729339125,840851.729343458,840851.729343541,840851.730885416,4.332978278398514e-06,0.0015418750699609518,0.001546291052363813
example.com,A,DecimalEncoding,840851.73094725,840851.730955375,840851.730955458,840851.732509,8.124974556267262e-06,0.0015535419806838036,0.0015617499593645334
example.com,A,ROT13,840851.732569166,840851.732578625,840851.732578708,840851.734150833,9.458977729082108e-06,0.0015721250092610717,0.0015816669911146164
example.com,A,URL,840851.73421825,840851.734228083,840851.734228125,840851.736247458,9.833020158112049e-06,0.00201933307107538,0.0020292080007493496
example.com,A,ALL,840851.73631025,840851.736619458,840851.7366195,840851.738536208,0.0003092079423367977,0.00191670807544142,0.0022259580437093973
example.com,AAAA,Base16,840851.73860025,840851.738604625,840851.738604708,840851.740168541,4.375004209578037e-06,0.0015638329787179828,0.0015682909870520234
example.com,AAAA,Base32,840851.740233875,840851.74024475,840851.740244833,840851.741785666,1.0875053703784943e-05,0.001540832919999957,0.0015517909778282046
example.com,AAAA,Base64,840851.74185075,840851.741855541,840851.741855583,840851.743384291,4.790956154465675e-06,0.0015287079149857163,0.0015335408970713615
example.com,AAAA,Base85,840851.743443291,840851.743454625,840851.743454708,840851.745435541,1.133396290242672e-05,0.0019808330107480288,0.001992249977774918
example.com,AAAA,Base91,840851.745498166,840851.745509208,840851.745509291,840851.747061208,1.1041993275284767e-05,0.0015519170556217432,0.0015630420530214906
example.com,AAAA,Binary,840851.747126916,840851.747137083,840851.747137125,840851.748678833,1.0167015716433525e-05,0.0015417080139741302,0.0015519170556217432
example.com,AAAA,Hexadecimal,840851.748737375,840851.748742583,840851.748742666,840851.750292791,5.207955837249756e-06,0.0015501250745728612,0.0015554160345345736
example.com,AAAA,NetBios,840851.75035375,840851.750357916,840851.750358,840851.751896791,4.166038706898689e-06,0.0015387909952551126,0.0015430410858243704
example.com,AAAA,DecimalEncoding,840851.751954791,840851.751963125,840851.751963208,840851.753988833,8.33394005894661e-06,0.002025625086389482,0.0020340420305728912
