domain,record_type,encoding_type,encodePacketStart,encodePacketEnd,dnsResStart,dnsResEnd,encode_duration,dns_resolution_duration,total_duration
example.com,A,Base16,832736.453624541,832736.453654791,832736.453654916,832736.45814075,3.0249939300119877e-05,0.004485833924263716,0.004516208893619478
example.com,A,Base32,832736.458257958,832736.458292583,832736.458292666,832736.46064275,3.462505992501974e-05,0.0023500840179622173,0.0023847920820116997
example.com,A,Base64,832736.460785,832736.460801708,832736.460801791,832736.462472208,1.670804340392351e-05,0.0016704169102013111,0.0016872079577296972
example.com,A,Base85,832736.462556166,832736.462582125,832736.46258225,832736.46473475,2.5958986952900887e-05,0.0021524999756366014,0.0021785839926451445
example.com,A,Base91,832736.464830375,832736.464858416,832736.4648585,832736.466967625,2.804095856845379e-05,0.0021091249072924256,0.0021372499177232385
example.com,A,Binary,832736.467054541,832736.467121833,832736.467122166,832736.4705365,6.729201413691044e-05,0.0034143340308219194,0.003481958992779255
example.com,A,Hexadecimal,832736.47065075,832736.470671958,832736.470672083,832736.472855125,2.1208077669143677e-05,0.002183042000979185,0.002204374992288649
example.com,A,NetBios,832736.472943625,832736.472958416,832736.4729585,832736.474703958,1.4791032299399376e-05,0.0017454579938203096,0.001760333077982068
example.com,A,DecimalEncoding,832736.474783166,832736.474806875,832736.474807,832736.476713958,2.3709028027951717e-05,0.0019069579429924488,0.0019307920010760427
example.com,A,ROT13,832736.476800791,832736.476820541,832736.476820625,832736.478628375,1.9749975763261318e-05,0.0018077499698847532,0.0018275839975103736
example.com,A,URL,832736.478714416,832736.478735833,832736.478735916,832736.481528833,2.1416926756501198e-05,0.0027929170755669475,0.0028144170064479113
example.com,A,ALL,832736.481662791,832736.483025583,832736.48302575,832736.487045041,0.001362791983410716,0.004019291023723781,0.005382250063121319
example.com,AAAA,Base16,832736.487454083,832736.487479125,832736.487479291,832736.490342833,2.504198346287012e-05,0.002863541943952441,0.0028887499356642365
example.com,AAAA,Base32,832736.491185666,832736.491330458,832736.491330625,832736.496759541,0.00014479202218353748,0.005428915959782898,0.0055738750379532576
example.com,AAAA,Base64,832736.497397041,832736.497954583,832736.497954708,832736.5049195,0.0005575420800596476,0.0069647920317947865,0.007522459025494754
example.com,AAAA,Base85,832736.506312541,832736.5064095,832736.506409666,832736.515142875,9.695906192064285e-05,0.008733208989724517,0.008830334059894085
example.com,AAAA,Base91,832736.51557925,832736.515614958,832736.515615125,832736.519115208,3.5708071663975716e-05,0.0035000829957425594,0.003535958006978035
example.com,AAAA,Binary,832736.519253416,832736.519282458,832736.519282541,832736.521091041,2.90420139208436e-05,0.0018085000338032842,0.0018376250518485904
example.com,AAAA,Hexadecimal,832736.5211725,832736.521187208,832736.52118725,832736.523382958,1.4708028174936771e-05,0.0021957079879939556,0.002210458042100072
example.com,AAAA,NetBios,832736.523526583,832736.52354325,832736.523543375,832736.525478208,1.666706521064043e-05,0.0019348330097272992,0.00195162498857826
example.com,AAAA,DecimalEncoding,832736.525594916,832736.525615333,832736.525615416,832736.527814791,2.0417035557329655e-05,0.0021993749542161822,0.0022198749938979745
